# dim, i_diff, inner_prod_orig, inner_prod_ae, value_orig, value_ae
32 0.001 -4.0 -3.968 0.0179862099621 0.0185602213849
64 0.001 -4.0 -3.936 0.0179862099621 0.0191521945182
128 0.001 -4.0 -3.872 0.0179862099621 0.0203921962582
256 0.001 -4.0 -3.744 0.0179862099621 0.023112452592
512 0.001 -4.0 -3.488 0.0179862099621 0.0296556023673
1024 0.001 -4.0 -2.976 0.0179862099621 0.0485219659163
2048 0.001 -4.0 -1.952 0.0179862099621 0.124335442253
4096 0.001 -4.0 0.0959999999995 0.0179862099621 0.523981584971
8192 0.001 -4.0 4.192 0.0179862099621 0.985109069072
16384 0.001 -4.0 12.384 0.0179862099621 0.999995815001
32768 0.001 -4.0 28.768 0.0179862099621 1.0
65536 0.001 -4.0 61.5359999999 0.0179862099621 1.0
131072 0.001 -4.0 127.072 0.0179862099621 1.0
262144 0.001 -4.0 258.144000001 0.0179862099621 1.0
524288 0.001 -4.0 520.287999995 0.0179862099621 1.0
1048576 0.001 -4.0 1044.57599998 0.0179862099621 1.0
2097152 0.001 -4.0 2093.15199997 0.0179862099621 1.0
