# Iterations	AcornConfidence	DresserConfidence
10	0.8613289	0.0114497281611
25	0.92582828	0.0157698057592
50	0.93921822	0.0177476312965
75	0.94277179	0.0183230601251
100	0.94556361	0.0186760574579
125	0.94626713	0.0189916118979
150	0.94693476	0.0190619919449
175	0.94753653	0.0190647970885
200	0.94806165	0.0193631630391
225	0.94787109	0.0193840544671
250	0.94841784	0.0194266047329
275	0.9480738	0.0193522386253
300	0.94864953	0.0195518322289
325	0.94847053	0.0194174852222
350	0.94922996	0.0196495037526
375	0.94906414	0.0194780658931
400	0.94866335	0.0194804742932
425	0.94900334	0.019677951932
450	0.9489193	0.019602144137
475	0.94915175	0.0195372216403
500	0.94981176	0.0195801276714
